ID,ADDRESS,MATCH_IND,MATCH_TYPE,MATCH_ADDRESS,GEOCODE,COL7,COL8
23,"3921 Copperhead Hills St, Las Vegas, NV, 89129",Match,Exact,"3921 COPPERHEAD HILLS ST, LAS VEGAS, NV, 89129","-115.29828,36.23258",201948376,L
24,"8095 Foxland St, Las Vegas, NV, 89131",Match,Exact,"8095 FOXLAND ST, LAS VEGAS, NV, 89131","-115.23818,36.307102",201999465,R
25,"3339 Haleakala Dr, Las Vegas, NV, 89122",Match,Exact,"3339 HALEAKALA DR, LAS VEGAS, NV, 89122","-115.059784,36.128452",201878573,R
26,"7932 Pale Rider St, Las Vegas, NV, 89131",Match,Exact,"7932 PALE RIDER ST, LAS VEGAS, NV, 89131","-115.20775,36.304996",201999221,L
27,"9168 Hedge Rock St, Las Vegas, NV, 89123",Match,Exact,"9168 HEDGE ROCK ST, LAS VEGAS, NV, 89123","-115.17933,36.02353",201953506,L
28,"2004 Ullom Dr, Las Vegas, NV, 89108",Match,Exact,"2004 ULLOM DR, LAS VEGAS, NV, 89108","-115.20482,36.196014",201899591,L
29,"6511 Coffeeville Creek Dr, Las Vegas, NV, 89122",Match,Exact,"6511 COFFEEVILLE CREEK DR, LAS VEGAS, NV, 89122","-115.030945,36.127228",612991933,R
30,"1805 Iron Ridge Dr, Las Vegas, NV, 89117",Match,Exact,"1805 IRON RIDGE DR, LAS VEGAS, NV, 89117","-115.279785,36.14995",201901625,R
31,"820 Glacier Peak Ln Unit 202, Las Vegas, NV, 89144",Match,Exact,"820 GLACIER PEAK LN, LAS VEGAS, NV, 89144","-115.328804,36.162697",201981827,L
32,"3651 Arville St Unit: 730, Las Vegas, NV, 89103",Match,Exact,"3651 ARVILLE ST, LAS VEGAS, NV, 89103","-115.19923,36.12336",201869352,R
33,"517 Carpenter Dr, Las Vegas, NV, 89107",Match,Exact,"517 CARPENTER DR, LAS VEGAS, NV, 89107","-115.226234,36.165916",201860367,L
34,"5520 Morendo Dr, Las Vegas, NV, 89107",Match,Exact,"5520 MORENDO DR, LAS VEGAS, NV, 89107","-115.21665,36.175705",201860775,R
35,"2857 Paradise Rd Unit 3201, Las Vegas, NV, 89109",Match,Exact,"2857 PARADISE RD, LAS VEGAS, NV, 89109","-115.1548,36.137188",201869829,R
36,"905 Boulder Springs Dr Unit 201, Las Vegas, NV, 89128",Match,Exact,"905 BOULDER SPRING DR, LAS VEGAS, NV, 89128","-115.266365,36.181408",201904963,L
37,"7470 Fort Mcdermitt Ave, Las Vegas, NV, 89179",No_Match,,,,,
38,"2924 Playa Del Rey St, Las Vegas, NV, 89169",Match,Exact,"2924 PLAYA DEL REY ST, LAS VEGAS, NV, 89169","-115.12825,36.136517",201870928,L
39,"7255 W Sunset Rd Apt 2105, Las Vegas, NV, 89113",Match,Non_Exact,"7255 W SUNSET RD, LAS VEGAS, NV, 89113","-115.25054,36.070347",641521703,L
40,"3104 Cypress Ave, Las Vegas, NV, 89030",Match,Non_Exact,"3104 CYPRESS AVE, NORTH LAS VEGAS, NV, 89030","-115.10634,36.205444",201866716,L
41,"717 Marie Fenlon Dr, Las Vegas, NV, 89107",Match,Exact,"717 MARIE FENLON DR, LAS VEGAS, NV, 89107","-115.21665,36.17975",201907525,L
42,"4940 Becky Pl, Las Vegas, NV, 89120",Match,Exact,"4940 BECKY PL, LAS VEGAS, NV, 89120","-115.065475,36.096222",201878810,L
43,"9317 Red Rose Ave, Las Vegas, NV, 89129",Match,Exact,"9317 RED ROSE AVE, LAS VEGAS, NV, 89129","-115.29857,36.225636",201905753,L
44,"2134 Burtonsville Dr, Henderson, NV, 89044",Match,Exact,"2134 BURTONSVILLE DR, HENDERSON, NV, 89044","-115.08641,35.949795",612682622,L
45,"6059 Saddle Horse Ave, Las Vegas, NV, 89122",Match,Exact,"6059 SADDLE HORSE AVE, LAS VEGAS, NV, 89122","-115.041046,36.119812",624812461,L
46,"2615 W Gary Ave Unit 2035, Las Vegas, NV, 89123",Match,Non_Exact,"2615 W GARY AVE, LAS VEGAS, NV, 89123","-115.17644,36.015453",201925865,L
47,"4728 Obannon Dr Apt D, Las Vegas, NV, 89102",Match,Exact,"4728 OBANNON DR, LAS VEGAS, NV, 89102","-115.20493,36.14814",201985846,R
48,"5139 Wyoming Ave, Las Vegas, NV, 89142",Match,Exact,"5139 WYOMING AVE, LAS VEGAS, NV, 89142","-115.062454,36.151215",201913446,R
49,"6219 White Point Ct, Las Vegas, NV, 89139",Match,Non_Exact,"6219 W WHITE POINT CT, LAS VEGAS, NV, 89139","-115.228165,36.034363",627346016,R
50,"4295 Rimcrest Rd, Las Vegas, NV, 89121",Match,Exact,"4295 RIMCREST RD, LAS VEGAS, NV, 89121","-115.08645,36.111553",201877779,R
51,"11776 Magnolia Park Ct, Las Vegas, NV, 89141",Match,Exact,"11776 MAGNOLIA PARK CT, LAS VEGAS, NV, 89141","-115.18663,35.975643",201998535,L
52,"9624 Grand Isle Ln, Las Vegas, NV, 89144",Match,Exact,"9624 GRAND ISLE LN, LAS VEGAS, NV, 89144","-115.306946,36.1772",201924890,R
53,"7920 Turtle Island Ct, Las Vegas, NV, 89129",Match,Exact,"7920 TURTLE ISLAND CT, LAS VEGAS, NV, 89129","-115.26788,36.222954",201906463,R
54,"2662 Red Arrow Dr, Las Vegas, NV, 89135",Match,Exact,"2662 RED ARROW DR, LAS VEGAS, NV, 89135","-115.34744,36.140938",201983601,L
55,"5828 Perfect View St, Las Vegas, NV, 89130",Match,Exact,"5828 PERFECT VIEW ST, LAS VEGAS, NV, 89130","-115.20973,36.266636",201990110,R
56,"2000 N Fashion Show Dr Unit 5206, Las Vegas, NV, 89109",Match,Exact,"2000 FASHION SHOW DR, LAS VEGAS, NV, 89109","-115.168236,36.127857",201989527,R
57,"145 E Harmon Ave # 3720, Las Vegas, NV, 89109",Match,Non_Exact,"145 E HARMON AVE, LAS VEGAS, NV, 89109","-115.16659,36.108017",642014365,R
58,"4959 Spanish Heights Dr, Las Vegas, NV, 89148",Match,Exact,"4959 SPANISH HEIGHTS DR, LAS VEGAS, NV, 89148","-115.28664,36.0988",201918118,L
59,"5293 San Anselmo St, Las Vegas, NV, 89120",No_Match,,,,,
60,"134 Tamarron Cliffs St, Las Vegas, NV, 89148",Match,Exact,"134 TAMARRON CLIFFS ST, LAS VEGAS, NV, 89148","-115.28739,36.051716",201983553,R
61,"7730 Secret Shore Dr Unit: 106, Las Vegas, NV, 89128",Match,Exact,"7730 SECRET SHORE DR, LAS VEGAS, NV, 89128","-115.26338,36.19829",201917708,L
62,"2374 Cardiff Ln Unit D, Las Vegas, NV, 89108",Match,Exact,"2374 CARDIFF LN, LAS VEGAS, NV, 89108","-115.2188,36.202618",201859436,R
63,"4664 Laurentia Ave, Las Vegas, NV, 89141",Match,Exact,"4664 LAURENTIA AVE, LAS VEGAS, NV, 89141","-115.20429,35.994514",201997824,R
64,", Las Vegas, NV, 89138",No_Match,,,,,
65,"10108 Rising Tree St, Las Vegas, NV, 89183",Match,Exact,"10108 RISING TREE ST, LAS VEGAS, NV, 89183","-115.15155,36.0061",201979388,L
66,"11569 Whipkey St, Las Vegas, NV, 89183",Match,Exact,"11569 WHIPKEY ST, LAS VEGAS, NV, 89183","-115.15753,35.979588",612691591,R
67,"3726 Las Vegas Blvd S Unit 902, Las Vegas, NV, 89158",Match,Exact,"3726 LAS VEGAS BLVD S, LAS VEGAS, NV, 89158","-115.173,36.107418",624818263,R
68,"9983 Diamond Summit Ct Unit: 102, Las Vegas, NV, 89183",Match,Exact,"9983 DIAMOND SUMMIT CT, LAS VEGAS, NV, 89183","-115.11909,36.00794",624286979,L
69,", Las Vegas, NV, 89178",No_Match,,,,,
70,"3755 Kit Fox St, Las Vegas, NV, 89122",Match,Exact,"3755 KIT FOX ST, LAS VEGAS, NV, 89122","-115.03191,36.119823",612990519,R
71,"9424 Medford Falls Ave, Las Vegas, NV, 89149",Match,Exact,"9424 MEDFORD FALLS AVE, LAS VEGAS, NV, 89149","-115.30223,36.303356",632841504,R
72,"4433 Gracemont Ave, Las Vegas, NV, 89139",Match,Exact,"4433 GRACEMONT AVE, LAS VEGAS, NV, 89139","-115.2002,36.048466",202002720,L
73,"7332 Stoney Shore Dr, Las Vegas, NV, 89128",Match,Exact,"7332 STONEY SHORE DR, LAS VEGAS, NV, 89128","-115.25278,36.193897",201905331,R
74,"2575 Paradise Village Way, Las Vegas, NV, 89120",Match,Exact,"2575 PARADISE VILLAGE WAY, LAS VEGAS, NV, 89120","-115.115265,36.097416",201872175,R
75,"9101 Alta Dr Unit: 1801, Las Vegas, NV, 89145",Match,Exact,"9101 ALTA DR, LAS VEGAS, NV, 89145","-115.291565,36.167427",625000567,L
76,"8933 Rudica Creek Ave, Las Vegas, NV, 89149",Match,Non_Exact,"8933 W RUDICA CREEK AVE, LAS VEGAS, NV, 89149","-115.29095,36.277718",627618146,L
77,"Blue Heron, Las Vegas, NV, 89115",No_Match,,,,,
78,"9545 Los Cotos Ct, Las Vegas, NV, 89147",Match,Exact,"9545 LOS COTOS CT, LAS VEGAS, NV, 89147","-115.30047,36.106934",201957317,L
79,"9269 Moonlight Nest Ln, Las Vegas, NV, 89178",Match,Exact,"9269 MOONLIGHT NEST LN, LAS VEGAS, NV, 89178","-115.27222,36.019604",627485305,L
80,"1934 Villa De Sol St, Las Vegas, NV, 89156",Match,Exact,"1934 VILLA DE SOL ST, LAS VEGAS, NV, 89156","-115.03121,36.194527",612680406,R
81,"10379 Copalito Dr, Las Vegas, NV, 89178",Match,Exact,"10379 COPALITO DR, LAS VEGAS, NV, 89178","-115.24765,36.000862",641455359,R
82,"5156 Treasure Ave, Las Vegas, NV, 89122",Match,Exact,"5156 TREASURE AVE, LAS VEGAS, NV, 89122","-115.06017,36.114326",201878851,L
83,"6142 Wheat Penny Ave, Las Vegas, NV, 89122",Match,Exact,"6142 WHEAT PENNY AVE, LAS VEGAS, NV, 89122","-115.03987,36.11911",624812452,R
84,"9 Midnight Ridge Dr, Las Vegas, NV, 89135",Match,Exact,"9 MIDNIGHT RIDGE DR, LAS VEGAS, NV, 89135","-115.35121,36.11784",629120373,L
85,"9477 Thatched Sunlight Ct, Las Vegas, NV, 89178",Match,Exact,"9477 THATCHED SUNLIGHT CT, LAS VEGAS, NV, 89178","-115.28639,36.016018",612680108,R
86,"7950 W Flamingo Rd Unit 1071, Las Vegas, NV, 89147",Match,Non_Exact,"7950 W FLAMINGO RD, LAS VEGAS, NV, 89147","-115.264435,36.11468",201861691,R
87,"8429 Vivid Violet Ave, Las Vegas, NV, 89143",Match,Exact,"8429 VIVID VIOLET AVE, LAS VEGAS, NV, 89143","-115.280045,36.311596",201967052,R
88,"7810 Carolyn Lee St, Las Vegas, NV, 89131",Match,Exact,"7810 CAROLYN LEE ST, LAS VEGAS, NV, 89131","-115.22921,36.301647",626862551,R
89,"1165 Jewel Weed Ct, Las Vegas, NV, 89123",Match,Non_Exact,"1165 JEWELL WEED CT, LAS VEGAS, NV, 89123","-115.13697,36.048317",201954062,L
90,"4909 Braeburn Dr, Las Vegas, NV, 89130",Match,Exact,"4909 BRAEBURN DR, LAS VEGAS, NV, 89130","-115.20936,36.251537",201917066,R
91,"7109 Montcliff Ave, Las Vegas, NV, 89147",Match,Exact,"7109 MONTCLIFF AVE, LAS VEGAS, NV, 89147","-115.24708,36.120785",201862291,L
92,"7564 Wentworth Springs Ct, Las Vegas, NV, 89139",Match,Exact,"7564 WENTWORTH SPRINGS CT, LAS VEGAS, NV, 89139","-115.23184,36.051258",202002660,L
93,"5453 Red Sun Dr, Las Vegas, NV, 89149",Match,Exact,"5453 RED SUN DR, LAS VEGAS, NV, 89149","-115.2692,36.260807",201907056,L
94,"2960 Reatini Ct, Las Vegas, NV, 89052",Match,Non_Exact,"2960 REATINI CT, HENDERSON, NV, 89052","-115.11617,35.97185",201956112,L
95,"5121 Pioneer Ave Apt 103, Las Vegas, NV, 89146",Match,Non_Exact,"5121 W PIONEER AVE, LAS VEGAS, NV, 89146","-115.2123,36.127914",201991707,R
96,"7817 Meadowrobin Ave, Las Vegas, NV, 89131",Match,Exact,"7817 MEADOWROBIN AVE, LAS VEGAS, NV, 89131","-115.26472,36.294422",201935650,L
97,"1522 Phillips Ave, Las Vegas, NV, 89104",Match,Exact,"1522 PHILLIPS AVE, LAS VEGAS, NV, 89104","-115.13161,36.147247",201868087,R
98,"31 Hawk Ridge Dr, Las Vegas, NV, 89135",Match,Exact,"31 HAWK RIDGE DR, LAS VEGAS, NV, 89135","-115.349205,36.117317",623725283,L
99,"2747 Paradise Rd Unit 1103, Las Vegas, NV, 89109",Match,Exact,"2747 PARADISE RD, LAS VEGAS, NV, 89109","-115.15479,36.1391",201869829,R
100,"2630 Plan, Las Vegas, NV, 89179",No_Match,,,,,
101,"6408 Penrose Ln, Las Vegas, NV, 89107",Match,Exact,"6408 PENROSE LN, LAS VEGAS, NV, 89107","-115.23416,36.17707",201859897,R
102,"5912 Negril Ave, Las Vegas, NV, 89130",Match,Exact,"5912 NEGRIL AVE, LAS VEGAS, NV, 89130","-115.223305,36.271683",201981129,R
103,"870 N Sloan Ln Apt 102, Las Vegas, NV, 89110",Match,Non_Exact,"870 N SLOAN LN, LAS VEGAS, NV, 89110","-115.04386,36.175903",201968673,R
104,"6130 Patriots Point Ct Unit Lot 3005, Las Vegas, NV, 89108",No_Match,,,,,
105,"3308 Royal Glen Ct, Las Vegas, NV, 89117",Match,Exact,"3308 ROYAL GLEN CT, LAS VEGAS, NV, 89117","-115.307884,36.131268",201901055,L
106,"10616 Umbrella Tree Ct, Las Vegas, NV, 89144",Match,Exact,"10616 UMBRELLA TREE CT, LAS VEGAS, NV, 89144","-115.32786,36.18335",201945231,R
107,"1520 Teton St, Las Vegas, NV, 89101",Match,Exact,"1520 TETON ST, LAS VEGAS, NV, 89101","-115.103745,36.187534",201868603,R
108,"3394 Ewa Beach Dr, Las Vegas, NV, 89122",Match,Exact,"3394 EWA BEACH DR, LAS VEGAS, NV, 89122","-115.06186,36.127487",201878451,L
109,"3430 Tanto Cir, Las Vegas, NV, 89121",Match,Non_Exact,"3430 E TANTO CIR, LAS VEGAS, NV, 89121","-115.10028,36.110016",201872295,L
110,"6065 Crystal Brook Ct, Las Vegas, NV, 89149",Match,Exact,"6065 CRYSTAL BROOK CT, LAS VEGAS, NV, 89149","-115.299965,36.27084",201923178,L
111,"9106 Horizon Mist Ave, Las Vegas, NV, 89178",Match,Non_Exact,"9106 W HORIZON MIST AVE, LAS VEGAS, NV, 89178","-115.292114,35.99897",640494168,R
112,"9593 Los Cotos Ct, Las Vegas, NV, 89147",Match,Exact,"9593 LOS COTOS CT, LAS VEGAS, NV, 89147","-115.30114,36.10694",201957317,L
113,"2291 Orchard Valley Dr, Las Vegas, NV, 89142",Match,Exact,"2291 ORCHARD VALLEY DR, LAS VEGAS, NV, 89142","-115.038635,36.147007",201913576,R
114,"6116 Browning Way, Las Vegas, NV, 89130",Match,Exact,"6116 BROWNING WAY, LAS VEGAS, NV, 89130","-115.22675,36.256435",201916774,R
115,"6468 Za Zu Pitts Av Unit: 101, Las Vegas, NV, 89122",Match,Exact,"6468 ZA ZU PITTS AVE, LAS VEGAS, NV, 89122","-115.03216,36.135628",623717452,R
116,"2617 Chateau Clermont St, Henderson, NV, 89044",Match,Exact,"2617 CHATEAU CLERMONT ST, HENDERSON, NV, 89044","-115.08362,35.932644",627158220,L
117,"7936 Meandering Light Ave, Las Vegas, NV, 89131",Match,Exact,"7936 MEANDERING LIGHT AVE, LAS VEGAS, NV, 89131","-115.26873,36.302708",201999377,R
118,"262 Forest Valley Ct, Las Vegas, NV, 89124",Match,Non_Exact,"262 FOREST VALLEY RD, LAS VEGAS, NV, 89124","-115.65049,36.25797",201845850,R
119,", Las Vegas, NV, 89115",No_Match,,,,,
120,"2777 Paradise Rd Unit 2903, Las Vegas, NV, 89109",Match,Exact,"2777 PARADISE RD, LAS VEGAS, NV, 89109","-115.1548,36.138577",201869829,R
121,"10035 Oak Creek Canyon Ave, Las Vegas, NV, 89147",Match,Exact,"10035 OAK CREEK CANYON AVE, LAS VEGAS, NV, 89147","-115.311264,36.121105",201947181,L
122,"2536 Dornoch Ln, Henderson, NV, 89044",Tie,,,,,
123,"2638 Kinghorn Pl, Henderson, NV, 89044",Match,Exact,"2638 KINGHORN PL, HENDERSON, NV, 89044","-115.1005,35.93193",624595905,R
124,"292 Broadcast Ave, Las Vegas, NV, 89183",Match,Exact,"292 BROADCAST AVE, LAS VEGAS, NV, 89183","-115.15986,36.00779",201953591,R
125,"4241 Flaming Ridge Trl, Las Vegas, NV, 89147",Match,Exact,"4241 FLAMING RIDGE TRL, LAS VEGAS, NV, 89147","-115.293915,36.11201",201946840,R
126,"1612 Cordoba Canyon St, Las Vegas, NV, 89117",Match,Exact,"1612 CORDOBA CANYON ST, LAS VEGAS, NV, 89117","-115.2791,36.152885",201922236,L
127,"7613 Constantinople Ave, Las Vegas, NV, 89129",Match,Exact,"7613 CONSTANTINOPLE AVE, LAS VEGAS, NV, 89129","-115.26097,36.231266",201906664,L
128,"838 Tam O Shanter, Las Vegas, NV, 89109",Match,Exact,"838 TAM O SHANTER, LAS VEGAS, NV, 89109","-115.14365,36.140335",201870774,R
129,"10612 Isola Bella St, Las Vegas, NV, 89141",Match,Exact,"10612 ISOLA BELLA ST, LAS VEGAS, NV, 89141","-115.20255,35.99682",201970546,L
130,"322 Karen Ave Unit 508, Las Vegas, NV, 89109",Match,Exact,"322 KAREN AVE, LAS VEGAS, NV, 89109","-115.15354,36.14025",201869841,L
131,"615 Franklin Ave, Las Vegas, NV, 89104",Match,Exact,"615 FRANKLIN AVE, LAS VEGAS, NV, 89104","-115.14592,36.15513",201867632,L
132,"10106 Quilt Tree St, Las Vegas, NV, 89183",Match,Exact,"10106 QUILT TREE ST, LAS VEGAS, NV, 89183","-115.15301,36.006145",201979383,L
133,"1830 N Pecos Rd Unit: 259, Las Vegas, NV, 89115",Match,Non_Exact,"1830 N PECOS RD, LAS VEGAS, NV, 89115","-115.09834,36.192867",641416902,R
134,"10640 Cactus Brush Ct, Las Vegas, NV, 89141",Match,Non_Exact,"10640 S CACTUS BRUSH CT, LAS VEGAS, NV, 89141","-115.23312,35.99631",641503387,L
135,"5017 Rustic Charm Ct, Las Vegas, NV, 89131",Match,Exact,"5017 RUSTIC CHARM CT, LAS VEGAS, NV, 89131","-115.20964,36.304733",201999226,L
136,", Las Vegas, NV, 89101",No_Match,,,,,
137,"7456 Calzado Dr, Las Vegas, NV, 89178",Match,Non_Exact,"7456 W CALZADO DR, LAS VEGAS, NV, 89178","-115.25463,36.003834",627565094,L
138,"5882 Whispering Pine Ave, Las Vegas, NV, 89142",Match,Exact,"5882 WHISPERING PINE AVE, LAS VEGAS, NV, 89142","-115.04601,36.155384",201876888,L
139,"8420 White Eagle Ave Unit 102, Las Vegas, NV, 89145",Match,Exact,"8420 WHITE EAGLE AVE, LAS VEGAS, NV, 89145","-115.27627,36.164654",201901720,R
140,"5409 Centurion Ct Unit: 203, Las Vegas, NV, 89122",Match,Exact,"5409 CENTURION CT, LAS VEGAS, NV, 89122","-115.04206,36.091133",201915494,L
141,"657 Shirehampton Dr, Las Vegas, NV, 89178",Match,Exact,"657 SHIREHAMPTON DR, LAS VEGAS, NV, 89178","-115.30408,36.036697",627160705,R
142,"8756 Captains Pl, Las Vegas, NV, 89117",Match,Exact,"8756 CAPTAINS PL, LAS VEGAS, NV, 89117","-115.28546,36.13528",201861523,R
143,"5220 Lytton Ave, Las Vegas, NV, 89146",Match,Exact,"5220 LYTTON AVE, LAS VEGAS, NV, 89146","-115.211205,36.15774",201861376,R
144,"200 W Sahara Ave Unit 801, Las Vegas, NV, 89102",Match,Non_Exact,"200 W SAHARA AVE, LAS VEGAS, NV, 89102","-115.15968,36.14379",201869751,R
145,"350 Whitly Bay Ave, Las Vegas, NV, 89148",Match,Exact,"350 WHITLY BAY AVE, LAS VEGAS, NV, 89148","-115.280304,36.04097",201984790,L
146,"9844 High Alpine St, Las Vegas, NV, 89178",Match,Non_Exact,"9844 S HIGH ALPINE ST, LAS VEGAS, NV, 89178","-115.26814,36.009808",627342733,R
147,"5305 Great Horizon Dr, Las Vegas, NV, 89149",Match,Exact,"5305 GREAT HORIZON DR, LAS VEGAS, NV, 89149","-115.27372,36.257694",201888769,R
148,"4902 Perrone Ave, Las Vegas, NV, 89141",Match,Exact,"4902 PERRONE AVE, LAS VEGAS, NV, 89141","-115.2079,35.988907",201998418,L
149,"10301 Kadumba St, Las Vegas, NV, 89178",Match,Exact,"10301 KADUMBA ST, LAS VEGAS, NV, 89178","-115.25205,36.00221",634418807,R
150,"1901 Manhattan Dr, Las Vegas, NV, 89106",Match,Exact,"1901 MANHATTAN DR, LAS VEGAS, NV, 89106","-115.17343,36.19142",201864964,L
151,"512 Canyon Greens Dr, Las Vegas, NV, 89144",Match,Exact,"512 CANYON GREENS DR, LAS VEGAS, NV, 89144","-115.30536,36.17828",201924900,L
152,"9670 Quarterhorse Ln, Las Vegas, NV, 89178",Match,Exact,"9670 QUARTERHORSE LN, LAS VEGAS, NV, 89178","-115.293625,36.012665",612993959,L
153,"9304 Pink Pear Ct, Las Vegas, NV, 89149",No_Match,,,,,
154,"4575 Dean Martin Dr Unit 1600, Las Vegas, NV, 89103",No_Match,,,,,
155,"2717 Stars End St, Las Vegas, NV, 89108",Match,Exact,"2717 STARS END ST, LAS VEGAS, NV, 89108","-115.20961,36.20895",201931304,L
156,"7363 Glorious Sun Dr, Las Vegas, NV, 89178",Match,Non_Exact,"7363 W GLORIOUS SUN DR, LAS VEGAS, NV, 89178","-115.25318,36.004517",627345500,L
157,"8150 Pechavez St, Las Vegas, NV, 89131",Match,Exact,"8150 PECHAVEZ ST, LAS VEGAS, NV, 89131","-115.212,36.308323",612685608,R
158,"9717 Mount Lompoc Ct, Las Vegas, NV, 89178",Match,Exact,"9717 MOUNT LOMPOC CT, LAS VEGAS, NV, 89178","-115.28437,36.01169",635029256,L
159,"1878 Venalynne St, Las Vegas, NV, 89156",Match,Exact,"1878 VENALYNNE ST, LAS VEGAS, NV, 89156","-115.02187,36.192425",201897604,R
160,"224 Star Cluster Cir, Las Vegas, NV, 89145",Match,Exact,"224 STAR CLUSTER CIR, LAS VEGAS, NV, 89145","-115.27085,36.17699",637402617,R
161,"8740 Apiary Wind St, Las Vegas, NV, 89131",Match,Exact,"8740 APIARY WIND ST, LAS VEGAS, NV, 89131","-115.21985,36.3195",632847672,R
162,"5399 Bradford Pear Dr, Las Vegas, NV, 89122",Match,Non_Exact,"5399 S BRADFORD PEAR DR, LAS VEGAS, NV, 89122","-115.024536,36.090828",625747329,R
163,", Las Vegas, NV, 89147",No_Match,,,,,
164,"6360 W Dewey Dr, Las Vegas, NV, 89118",Match,Exact,"6360 W DEWEY DR, LAS VEGAS, NV, 89118","-115.2305,36.087112",201887346,R
165,"5416 Spencer St, Las Vegas, NV, 89119",Match,Exact,"5416 SPENCER ST, LAS VEGAS, NV, 89119","-115.12784,36.091515",201872630,L
166,"10164 Birch Bluff Ln, Las Vegas, NV, 89145",Match,Exact,"10164 BIRCH BLUFF LN, LAS VEGAS, NV, 89145","-115.31769,36.163403",201955601,L
167,"8120 Tilkuni Dr, Las Vegas, NV, 89166",Match,Exact,"8120 TILKUNI DR, LAS VEGAS, NV, 89166","-115.30446,36.30895",632841873,R
168,"1505 Golden Oak Dr, Las Vegas, NV, 89117",Match,Exact,"1505 GOLDEN OAK DR, LAS VEGAS, NV, 89117","-115.25763,36.153896",201918786,L
169,"7923 Napier St, Las Vegas, NV, 89131",Match,Exact,"7923 NAPIER ST, LAS VEGAS, NV, 89131","-115.27747,36.30532",641494717,R
170,"1426 Laguna Ave, Las Vegas, NV, 89169",Match,Exact,"1426 LAGUNA AVE, LAS VEGAS, NV, 89169","-115.13381,36.140354",201870872,L
